"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CCN1",4546.05667139041,2.36385574927904,0.068978096887966,34.2696574119522,2.22277842167988e-257,4.59826172092916e-253
"SLC30A1",1884.03492535518,-2.39960317276296,0.0780536636855901,-30.7429921858487,1.51713135625512e-207,1.56924481834249e-203
"TXNIP",5808.63680463636,-3.4943800765644,0.120668359726979,-28.9585445967002,2.1905637588971e-184,1.51053974934347e-180
"CXCL8",977.704843219555,3.5292949539639,0.124317083626347,28.3894606518578,2.72856861367583e-177,1.4111474727778e-173
"LCP1",588.744637539524,2.68302879764325,0.0949630567904229,28.2533954605581,1.29299330008428e-175,5.34963047976872e-172
"APLN",692.07799315426,2.84206555018168,0.107807126636537,26.3625016160897,3.68992374140857e-153,1.27222420730865e-149
"TNFRSF10D",2290.01767542751,2.07930001889382,0.0813909081490505,25.547079719101,5.91665677954976e-144,1.74854112569351e-140
"ARRDC4",2007.37137493325,-2.12478363093198,0.0844409001768745,-25.1629675486796,1.01930611767276e-139,2.63579820703704e-136
"FEN1",2423.43320161059,1.94855096753143,0.0804911514460699,24.208263051585,1.820830077131e-129,4.1852790895121e-126
"TSC22D1",7919.05321654308,-1.30325914971661,0.05491903326254,-23.7305551881511,1.74473729812975e-124,3.60933804864102e-121
"TP63",17803.5925972505,-0.959426161703247,0.0412069985638641,-23.2830877069654,6.57825645573772e-120,1.2371308299986e-116
"FOXA2",1579.7351268667,-2.05670142435599,0.088503651393431,-23.2386053227703,1.8548204098082e-119,3.19755581814186e-116
"SNHG8",2248.69021409261,-1.35270684526696,0.0583891664821728,-23.1670860668984,9.7797032455516e-119,1.55625170031328e-115
"ESM1",232.614027819412,3.23869691567178,0.143961748103392,22.4969268457741,4.44835966299101e-112,6.57308688202108e-109
"DKK1",1384.73487462434,2.2797452611548,0.103253052136042,22.079204575484,5.00823845588172e-108,6.90702859578834e-105
"ZBED2",4637.63597842817,1.31095003884196,0.0597369654811582,21.9453738281274,9.58764477863257e-107,1.23962254709733e-103
"ZC3HAV1",2776.22532689736,1.39730087832779,0.063895921083343,21.8683893218349,5.19595436239948e-106,6.32286517029165e-103
"HMGCS1",25590.1339467925,1.50121664090437,0.069467365699087,21.6103867736574,1.43442053637968e-103,1.64854764644925e-100
"SLFN11",1382.20421648309,1.71261414527172,0.0821925111658814,20.8366202830245,2.01577346902997e-96,2.19475293441174e-93
"HSPA8",50946.0277029988,1.94544184078418,0.093550008940182,20.7957419012984,4.72983156847547e-96,4.8923012828526e-93
"HES1",805.890488122502,-1.96075338757962,0.0952820046655069,-20.578422908533,4.28393482758248e-94,4.22008379896185e-91
"KLF9",1200.02229049492,-1.59472721485188,0.0798577134587323,-19.969607765892,1.01245297739188e-88,9.5202794287754e-86
"FGFBP1",16773.1907589631,1.19713461770043,0.0613512000933303,19.512815004096,8.54448512583942e-85,7.68520712166261e-82
"ENC1",3317.43253788339,1.18477250968428,0.0610348960128682,19.411395563523,6.18248796236265e-84,5.32904701989151e-81
"PCNA",7516.64676843521,1.39866894339863,0.0721228436668438,19.3928701682852,8.86492747821815e-84,7.33555018967595e-81
"UHRF1",3335.00233255678,1.14046172722142,0.0591777113926309,19.2718119775656,9.26352643029091e-83,7.37056043320877e-80
"SNHG1",2747.11398728366,-1.37804888842035,0.0715621736317189,-19.2566661755164,1.24116951346636e-82,9.50965693521429e-80
"MCM6",4194.0913096754,1.02990465407249,0.0535986543072403,19.2151214873572,2.76585976358099e-82,2.04347646175714e-79
"MXD1",1351.62298125579,-1.37539230857097,0.0721969182535202,-19.050568110695,6.49930285001626e-81,4.63624407097539e-78
"TMEM200A",480.612939089716,1.79211369425949,0.095059500195652,18.8525469897375,2.8002953875612e-79,1.93099035608262e-76
"KLF5",7544.26982216524,-0.985342742340131,0.0527692527804665,-18.6726680864595,8.26203180090006e-78,5.51344038274901e-75
"TFRC",3567.58504808157,1.66966757651389,0.0897307942942928,18.6075203016462,2.792455997844e-77,1.80523553835621e-74
"DUSP4",6274.49360831876,1.30701728422641,0.0730978026012925,17.8803908970486,1.67657419443936e-71,1.051008798799e-68
"RAB38",3205.29040731435,-0.936558488810254,0.0531681432806494,-17.6150309381053,1.88885870028283e-69,1.14925940978679e-66
"AMOTL2",2762.28668967901,1.01282722143498,0.0576298659992589,17.57469332738,3.84966251692479e-69,2.27537052821781e-66
"CDC6",2737.76264511318,1.32489338458963,0.0758784297703151,17.4607380331946,2.85222754322994e-68,1.63900086629994e-65
"CCN2",755.65732006271,2.03777174878365,0.116781417054921,17.4494521489263,3.47550174888295e-68,1.89204485997741e-65
"GAS5",7114.66506553835,-0.867369218021249,0.0497070451445057,-17.4496233984474,3.46509788269286e-68,1.89204485997741e-65
"CEBPD",1828.38661356443,-2.23231830976069,0.128335154061119,-17.394441344556,9.0908757894111e-68,4.82212685783455e-65
"SQLE",13936.3397358104,0.742786378177835,0.0427756527977081,17.3647000009696,1.52695884449397e-67,7.89704940401171e-65
"ZNF367",556.425452476203,1.78144229999194,0.103380443935096,17.2319080106714,1.5301952676677e-66,7.72076817127844e-64
